Sample	Names	Reference	Azithromycin	Cefixime	Ceftriaxone	Ciprofloxacin
ERR1067709	GCGS0277	grad2014_2016	0.25	0.008	0.008	0.015
ERR1067710	GCGS0839	grad2014_2016	0.25	0.125	0.015	0.002
ERR1067711	GCGS0605	grad2014_2016	0.25	0.03	0.03	0.015
ERR1067712	GCGS0287	grad2014_2016	0.25	0.008	0.008	0.008
ERR1067713	GCGS0613	grad2014_2016	0.5	0.03	0.03	0.004
ERR1067714	GCGS0766	grad2014_2016	0.25	0.06	0.008	0.004
ERR1067715	GCGS0624	grad2014_2016	0.25	0.03	0.015	2
ERR1067716	GCGS0625	grad2014_2016	0.25	0.03	0.015	2
ERR1067717	GCGS0440	grad2014_2016	0.25	0.015	0.004	0.002
ERR1067718	GCGS0782	grad2014_2016	0.25	0.06	0.008	0.004
ERR1067719	GCGS0647	grad2014_2016	0.25	0.03	0.015	0.008
ERR1067720	GCGS0462	grad2014_2016	0.25	0.015	0.008	0.004
ERR1067721	GCGS0855	grad2014_2016	0.25	0.125	0.03	0.015
ERR1067722	GCGS0673	grad2014_2016	0.25	0.03	0.015	4
ERR1067723	GCGS0294	grad2014_2016	0.25	0.008	0.002	0.004
ERR1067724	GCGS0796	grad2014_2016	0.25	0.06	0.06	8
ERR1067725	GCGS0682	grad2014_2016	0.5	0.03	0.03	0.015
ERR1067726	GCGS0797	grad2014_2016	0.25	0.06	0.03	8
ERR1067727	GCGS0683	grad2014_2016	0.25	0.03	0.06	8
ERR1067728	GCGS0684	grad2014_2016	0.25	0.03	0.03	8
ERR1067729	GCGS0798	grad2014_2016	0.25	0.06	0.06	16
ERR1067730	GCGS0498	grad2014_2016	0.25	0.015	0.008	8
ERR1067731	GCGS0588	grad2014_2016	0.5	0.03	0.03	2
ERR1067732	GCGS0410	grad2014_2016	0.5	0.015	0.008	2
ERR1067733	GCGS0626	grad2014_2016	0.25	0.03	0.015	4
ERR1067734	GCGS0627	grad2014_2016	1	0.063	0.25	32
ERR1067735	GCGS0628	grad2014_2016	0.25	0.03	0.03	4
ERR1067736	GCGS0629	grad2014_2016	0.25	0.03	0.03	4
ERR1067737	GCGS0773	grad2014_2016	0.25	0.06	0.06	4
ERR1067738	GCGS0774	grad2014_2016	0.25	0.06	0.015	4
ERR1067739	GCGS0648	grad2014_2016	0.5	0.03	0.015	0.015
ERR1067740	GCGS0799	grad2014_2016	0.25	0.06	0.015	8
ERR1067741	GCGS0504	grad2014_2016	0.25	0.015	0.008	16
ERR1067742	GCGS0710	grad2014_2016	0.25	0.03	0.015	16
ERR1067743	GCGS0711	grad2014_2016	0.25	0.03	0.015	4
ERR1067745	GCGS0310	grad2014_2016	0.5	0.015	0.004	0.004
ERR1067746	GCGS0538	grad2014_2016	0.5	0.03	0.008	0.004
ERR1067747	GCGS0540	grad2014_2016	0.5	0.03	0.008	0.008
ERR1067748	GCGS0541	grad2014_2016	0.5	0.03	0.008	0.004
ERR1067749	GCGS0547	grad2014_2016	0.5	0.03	0.015	0.008
ERR1067750	GCGS0728	grad2014_2016	0.5	0.06	0.015	0.004
ERR1067751	GCGS0261	grad2014_2016	0.5	0.008	0.004	0.004
ERR1067752	GCGS0318	grad2014_2016	0.25	0.015	0.004	0.004
ERR1067753	GCGS0359	grad2014_2016	0.5	0.015	0.015	0.004
ERR1067754	GCGS0840	grad2014_2016	0.25	0.125	0.06	4
ERR1067755	GCGS0400	grad2014_2016	0.25	0.015	0.015	0.004
ERR1067756	GCGS0843	grad2014_2016	0.25	0.125	0.015	0.004
ERR1067757	GCGS0630	grad2014_2016	0.5	0.03	0.015	0.008
ERR1067758	GCGS0631	grad2014_2016	0.25	0.03	0.03	8
ERR1067759	GCGS0650	grad2014_2016	0.25	0.03	0.015	4
ERR1067760	GCGS0783	grad2014_2016	0.25	0.06	0.015	2
ERR1067761	GCGS0443	grad2014_2016	0.5	0.015	0.004	0.004
