blaTEM.WHO_M_pConjugative_00003 Made blaTEM.WHO_M_pConjugative_00003 into gene. strand=+, frame=0
folP.Neisseria_meningitidis_H44_76_v1_00541 Made folP.Neisseria_meningitidis_H44_76_v1_00541 into gene. strand=+, frame=0
folP.Neisseria_meningitidis_M01_240149_v1_00504 Made folP.Neisseria_meningitidis_M01_240149_v1_00504 into gene. strand=+, frame=0
folP.Neisseria_meningitidis_MC58_v2_01707 Made folP.Neisseria_meningitidis_MC58_v2_01707 into gene. strand=+, frame=0
folP.Neisseria_meningitidis_serogroup_A_Z2491_v1_01867 Made folP.Neisseria_meningitidis_serogroup_A_Z2491_v1_01867 into gene. strand=+, frame=0
folP.Neisseria_meningitidis_serogroup_C_FAM18_v1_01586 Made folP.Neisseria_meningitidis_serogroup_C_FAM18_v1_01586 into gene. strand=+, frame=0
folP.WHO_F_01537c Made folP.WHO_F_01537c into gene. strand=+, frame=0
folP.WHO_G_01367c Made folP.WHO_G_01367c into gene. strand=+, frame=0
folP.WHO_K_01359c Made folP.WHO_K_01359c into gene. strand=+, frame=0
folP.WHO_L_00516 Made folP.WHO_L_00516 into gene. strand=+, frame=0
folP.WHO_M_01364c Made folP.WHO_M_01364c into gene. strand=+, frame=0
folP.WHO_N_01367c Made folP.WHO_N_01367c into gene. strand=+, frame=0
folP.WHO_O_01412c Made folP.WHO_O_01412c into gene. strand=+, frame=0
folP.WHO_P_01364c Made folP.WHO_P_01364c into gene. strand=+, frame=0
folP.WHO_U_01433c Made folP.WHO_U_01433c into gene. strand=+, frame=0
folP.WHO_V_01427c Made folP.WHO_V_01427c into gene. strand=+, frame=0
folP.WHO_W_01420c Made folP.WHO_W_01420c into gene. strand=+, frame=0
folP.WHO_X_01360c Made folP.WHO_X_01360c into gene. strand=+, frame=0
folP.WHO_Y_01480c Made folP.WHO_Y_01480c into gene. strand=+, frame=0
folP.WHO_Z_01426c Made folP.WHO_Z_01426c into gene. strand=+, frame=0
gyrA.Neisseria_meningitidis_H44_76_v1_00856 Made gyrA.Neisseria_meningitidis_H44_76_v1_00856 into gene. strand=+, frame=0
gyrA.Neisseria_meningitidis_M01_240149_v1_00796 Made gyrA.Neisseria_meningitidis_M01_240149_v1_00796 into gene. strand=+, frame=0
gyrA.Neisseria_meningitidis_serogroup_A_Z2491_v1_01510 Made gyrA.Neisseria_meningitidis_serogroup_A_Z2491_v1_01510 into gene. strand=+, frame=0
gyrA.Neisseria_meningitidis_serogroup_C_FAM18_v1_01290 Made gyrA.Neisseria_meningitidis_serogroup_C_FAM18_v1_01290 into gene. strand=+, frame=0
gyrA.WHO_F_00668c Made gyrA.WHO_F_00668c into gene. strand=+, frame=0
gyrA.WHO_G_01105 Made gyrA.WHO_G_01105 into gene. strand=+, frame=0
gyrA.WHO_M_01098 Made gyrA.WHO_M_01098 into gene. strand=+, frame=0
gyrA.WHO_Z_01155 Made gyrA.WHO_Z_01155 into gene. strand=+, frame=0
mtrR.Neisseria_meningitidis_H44_76_v1_00513 Made mtrR.Neisseria_meningitidis_H44_76_v1_00513 into gene. strand=+, frame=0
mtrR.Neisseria_meningitidis_M01_240149_v1_00481 Made mtrR.Neisseria_meningitidis_M01_240149_v1_00481 into gene. strand=+, frame=0
mtrR.Neisseria_meningitidis_MC58_v2_01735 Made mtrR.Neisseria_meningitidis_MC58_v2_01735 into gene. strand=+, frame=0
mtrR.Neisseria_meningitidis_serogroup_A_Z2491_v1_01888 Made mtrR.Neisseria_meningitidis_serogroup_A_Z2491_v1_01888 into gene. strand=+, frame=0
mtrR.Neisseria_meningitidis_serogroup_C_FAM18_v1_01611 Made mtrR.Neisseria_meningitidis_serogroup_C_FAM18_v1_01611 into gene. strand=+, frame=0
mtrR.WHO_F_01564 Made mtrR.WHO_F_01564 into gene. strand=+, frame=0
mtrR.WHO_G_01393 Made mtrR.WHO_G_01393 into gene. strand=+, frame=0
mtrR.WHO_K_01388 Made mtrR.WHO_K_01388 into gene. strand=+, frame=0
mtrR.WHO_L_00489c Made mtrR.WHO_L_00489c into gene. strand=+, frame=0
mtrR.WHO_M_01390 Made mtrR.WHO_M_01390 into gene. strand=+, frame=0
mtrR.WHO_O_01438 Made mtrR.WHO_O_01438 into gene. strand=+, frame=0
mtrR.WHO_U_01459 Made mtrR.WHO_U_01459 into gene. strand=+, frame=0
mtrR.WHO_V_01454 Made mtrR.WHO_V_01454 into gene. strand=+, frame=0
mtrR.WHO_W_01449 Made mtrR.WHO_W_01449 into gene. strand=+, frame=0
mtrR.WHO_X_01389 Made mtrR.WHO_X_01389 into gene. strand=+, frame=0
mtrR.WHO_Y_01506 Made mtrR.WHO_Y_01506 into gene. strand=+, frame=0
