name,16S.match,23S.match,blaTEM.match,folP.match,gyrA.match,mtrR.match,mtrR_promoter.match,parC.match,parE.match,penA.match,ponA.match,porA.match,porB1a.match,porB1b.match,rpoB.match,rpsJ.match,tetM.match
ERR1067709,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067710,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067711,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067712,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067713,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067714,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes
ERR1067715,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes
ERR1067716,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067717,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067718,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no
ERR1067719,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067720,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067721,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067722,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067723,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
ERR1067724,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067725,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067726,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067727,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067728,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067729,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067730,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no
ERR1067731,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067732,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067733,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067734,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067735,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067736,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067737,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067738,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067739,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067740,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067741,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no
ERR1067742,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067743,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067745,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067746,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067747,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067748,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067749,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067750,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes
ERR1067751,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
ERR1067752,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes
ERR1067753,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067754,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067755,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes
ERR1067756,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
ERR1067757,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067758,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067759,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067760,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067761,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067762,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067763,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067764,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
